[00:03:31]: [DangTienScan] === scan begin ===	
[00:03:31]: [DangTienScan] CN | STRINGS.XD_HTZ_NOLQ = 灵力不足	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_JINGWEI.DESCRIBE.ARMORRUINS = 它轻得古怪。	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_JINGWEI.DESCRIBE.POLISHCOOKIE = 我要吃个精光！	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_JINGWEI.DESCRIBE.HALLOWEENCANDY_11 = 味道还算不错。	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_JINGWEI.DESCRIBE.BOOK_BRIMSTONE = 这本书或许会带来在灾害。	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_JINGWEI.DESCRIBE.BOOK_SILVICULTURE = 我还是坚持自己的道路吧。	
[00:03:32]: [DangTienScan] EN | STRINGS.CHARACTERS.XD_JINGWEI.ANNOUNCE_ABIGAIL_RETRIEVE = only_used_by_wendy	
[00:03:32]: [DangTienScan] EN | STRINGS.CHARACTERS.XD_JINGWEI.ANNOUNCE_MIGHTYTONORMAL = only_used_by_wolfang	
[00:03:32]: [DangTienScan] EN | STRINGS.CHARACTERS.XD_JINGWEI.ANNOUNCE_WANDA_NORMALTOOLD = only_used_by_wanda	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_JINGWEI.COMBAT_QUIT.GENERIC = 这下子你可逃不掉啦！	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_JINGWEI.COMBAT_QUIT.PREY = 他速度太快了！	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_JINGWEI.COMBAT_QUIT.PIG = 这次姑且放过他。	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_JINGWEI.COMBAT_QUIT.SPIDER_WARRIOR = 不对他不感兴趣！	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_JINGWEI.COMBAT_QUIT.SPIDER = 且留他一命。	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_JINGWEI.ANNOUNCE_COZY_SLEEP = 我感觉神清气爽！	
[00:03:32]: [DangTienScan] EN | STRINGS.CHARACTERS.XD_JINGWEI.ANNOUNCE_WOLFGANG_NOTEAM.1 = only_used_by_wolfgang	
[00:03:32]: [DangTienScan] EN | STRINGS.CHARACTERS.XD_JINGWEI.ANNOUNCE_WOLFGANG_NOTEAM.2 = only_used_by_wolfgang	
[00:03:32]: [DangTienScan] EN | STRINGS.CHARACTERS.XD_JINGWEI.ANNOUNCE_WOLFGANG_NOTEAM.3 = only_used_by_wolfgang	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_JINGWEI.ANNOUNCE_WORMS = 感觉到了吗？	
[00:03:32]: [DangTienScan] EN | STRINGS.CHARACTERS.XD_JINGWEI.ANNOUNCE_WOLFGANG_BEGIN_COACHING = only_used_by_wolfgang	
[00:03:32]: [DangTienScan] EN | STRINGS.CHARACTERS.XD_JINGWEI.ANNOUNCE_SOUL_MANY.1 = only_used_by_wortox	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_JINGWEI.ANNOUNCE_MOSQUITOS = 啊！滚开！	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_JINGWEI.ANNOUNCE_SHADOW_RIFT_MAX = 有些阴险的家伙即将到来。	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_JINGWEI.BATTLECRY.GENERIC = 我才不会输给你！	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_JINGWEI.BATTLECRY.PREY = 受死吧，长鼻子怪！	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_JINGWEI.BATTLECRY.PIG = 受死吧，小猪！	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_JINGWEI.BATTLECRY.SPIDER_WARRIOR = 受死吧，小蜘蛛！	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_JINGWEI.BATTLECRY.SPIDER = 受死吧，小蜘蛛！	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_JINGWEI.BATTLECRY.DEER = 不听话就要挨打！	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_JINGWEI.ANNOUNCE_PIRATES_ARRIVE = 那个号子声只意味着一件事...	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_JINGWEI.ANNOUNCE_CANT_ESCAPE_CURSE = 当然不会那么轻松。	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_JINGWEI.ANNOUNCE_TICOON_DEAD = 可怜的家伙……他原本想把我带到哪里呢？	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_JINGWEI.ANNOUNCE_TICOON_ABANDONED = 我会自己找到那些小家伙的。	
[00:03:32]: [DangTienScan] EN | STRINGS.CHARACTERS.XD_JINGWEI.ANNOUNCE_SHADOWLEVEL_ITEM = only_used_by_waxwell	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_JINGWEI.ANNOUNCE_TICOON_GET_LEADER_ATTENTION = 他很想让我跟着。	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_JINGWEI.ANNOUNCE_LOWRESEARCH = 我没从那儿学到什么。	
[00:03:32]: [DangTienScan] EN | STRINGS.CHARACTERS.XD_JINGWEI.ANNOUNCE_NOWATERNEARBY = only_used_by_waxwell_and_wicker	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_JINGWEI.ANNOUNCE_TICOON_WAITING_FOR_LEADER = 我应该跟着他！	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_JINGWEI.ANNOUNCE_TICOON_START_TRACKING = 他捕捉到了气味！	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_JINGWEI.ANNOUNCE_KITCOON_HIDANDSEEK_TOOFAR_RETURN = 小猫们应该就在附近。	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_JINGWEI.ANNOUNCE_KITCOON_HIDANDSEEK_LOSEGAME = 看来它们不想玩了……	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_JINGWEI.ANNOUNCE_HUNT_AVOID_FORK = 这个踪迹看起来安全些了。	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_JINGWEI.ANNOUNCE_KITCOON_HIDANDSEEK_TIME_ALMOST_UP = 那些小家伙们估计不耐烦了……	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_JINGWEI.ANNOUNCE_KITCOON_HIDANDSEEK_FOUND_ONE_MORE = 所以最后一个藏在哪里呢？	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_JINGWEI.ANNOUNCE_TRAP_WENT_OFF = 哎呀。	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_JINGWEI.ANNOUNCE_KITCOON_HIDEANDSEEK_JOIN = 它们在玩捉迷藏呢。	
[00:03:32]: [DangTienScan] EN | STRINGS.CHARACTERS.XD_JINGWEI.ANNOUNCE_WAYTOOMANYBIRDS = only_used_by_waxwell_and_wicker	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_JINGWEI.ANNOUNCE_FERTILIZER_RESEARCHED = 我从未想过这些。	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_JINGWEI.ANNOUNCE_PLANT_RANDOMSEED = 不知道会长成什么。	
[00:03:32]: [DangTienScan] EN | STRINGS.CHARACTERS.XD_JINGWEI.ANNOUNCE_POCKETWATCH_OPEN_PORTAL = only_used_by_wanda	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_JINGWEI.ANNOUNCE_WINCH_CLAW_MISS = 好像没对准。	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_JINGWEI.ANNOUNCE_POCKETWATCH_PORTAL = 没有人告诉我缩地成寸之后会发生什么……	
[00:03:32]: [DangTienScan] EN | STRINGS.CHARACTERS.XD_JINGWEI.ANNOUNCE_WANDA_NORMALTOYOUNG = only_used_by_wanda	
[00:03:32]: [DangTienScan] EN | STRINGS.CHARACTERS.XD_JINGWEI.ANNOUNCE_ABIGAIL_LOW_HEALTH = only_used_by_wendy	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_JINGWEI.ANNOUNCE_BOAT_SINK = 我虽然不会被淹死。	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_JINGWEI.ANNOUNCE_IS_FEASTING = 冬季盛宴快乐！	
[00:03:32]: [DangTienScan] EN | STRINGS.CHARACTERS.XD_JINGWEI.ANNOUNCE_ABIGAIL_SUMMON.LEVEL1 = only_used_by_wendy	
[00:03:32]: [DangTienScan] EN | STRINGS.CHARACTERS.XD_JINGWEI.ANNOUNCE_ABIGAIL_SUMMON.LEVEL3 = only_used_by_wendy	
[00:03:32]: [DangTienScan] EN | STRINGS.CHARACTERS.XD_JINGWEI.ANNOUNCE_ABIGAIL_SUMMON.LEVEL2 = only_used_by_wendy	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_JINGWEI.ANNOUNCE_HUNT_BEAST_NEARBY = 我感觉到附近出现了大家伙。	
[00:03:32]: [DangTienScan] EN | STRINGS.CHARACTERS.XD_JINGWEI.ANNOUNCE_WANDA_OLDTONORMAL = only_used_by_wanda	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_JINGWEI.ANNOUNCE_NONIGHTSIESTA_CAVE = 这不是我睡觉的地方。	
[00:03:32]: [DangTienScan] EN | STRINGS.CHARACTERS.XD_JINGWEI.ANNOUNCE_SISTURN_FULL = only_used_by_wendy	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_JINGWEI.ANNOUNCE_OCEANFISHING_LINESNAP = 跑什么我又不会真的吃了你。	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_JINGWEI.ANNOUNCE_OCEANFISHING_GOTAWAY = 此鱼可成大事。	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_JINGWEI.ANNOUNCE_EAT.GENERIC = 美味！	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_JINGWEI.ANNOUNCE_EAT.STALE = 我要吃新鲜的。	
[00:03:32]: [DangTienScan] EN | STRINGS.CHARACTERS.XD_JINGWEI.ANNOUNCE_EAT.DRIED = only_used_by_warly	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_JINGWEI.ANNOUNCE_EAT.PAINFUL = 糟糕的口感。	
[00:03:32]: [DangTienScan] EN | STRINGS.CHARACTERS.XD_JINGWEI.ANNOUNCE_EAT.TASTY = only_used_by_warly	
[00:03:32]: [DangTienScan] EN | STRINGS.CHARACTERS.XD_JINGWEI.ANNOUNCE_EAT.RAW = only_used_by_warly	
[00:03:32]: [DangTienScan] EN | STRINGS.CHARACTERS.XD_JINGWEI.ANNOUNCE_EAT.SAME_OLD_4 = only_used_by_warly	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_JINGWEI.ANNOUNCE_EAT.SPOILED = 好难吃啊！	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_JINGWEI.ANNOUNCE_EAT.YUCKY = 我并不想吃这个！	
[00:03:32]: [DangTienScan] EN | STRINGS.CHARACTERS.XD_JINGWEI.ANNOUNCE_EAT.COOKED = only_used_by_warly	
[00:03:32]: [DangTienScan] EN | STRINGS.CHARACTERS.XD_JINGWEI.ANNOUNCE_EAT.SAME_OLD_3 = only_used_by_warly	
[00:03:32]: [DangTienScan] EN | STRINGS.CHARACTERS.XD_JINGWEI.ANNOUNCE_EAT.SAME_OLD_2 = only_used_by_warly	
[00:03:32]: [DangTienScan] EN | STRINGS.CHARACTERS.XD_JINGWEI.ANNOUNCE_EAT.SAME_OLD_1 = only_used_by_warly	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_JINGWEI.ANNOUNCE_EAT.INVALID = 这个不适合我！	
[00:03:32]: [DangTienScan] EN | STRINGS.CHARACTERS.XD_JINGWEI.ANNOUNCE_EAT.SAME_OLD_5 = only_used_by_warly	
[00:03:32]: [DangTienScan] EN | STRINGS.CHARACTERS.XD_JINGWEI.ANNOUNCE_EAT.PREPARED = only_used_by_warly	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_JINGWEI.ANNOUNCE_WEAK_RAT = 这只胡萝卜鼠不在训练的状态。	
[00:03:32]: [DangTienScan] EN | STRINGS.CHARACTERS.XD_JINGWEI.ANNOUNCE_READ_BOOK.BOOK_RAIN = only_used_by_wurt	
[00:03:32]: [DangTienScan] EN | STRINGS.CHARACTERS.XD_JINGWEI.ANNOUNCE_READ_BOOK.BOOK_BIRDS = only_used_by_wurt	
[00:03:32]: [DangTienScan] EN | STRINGS.CHARACTERS.XD_JINGWEI.ANNOUNCE_READ_BOOK.BOOK_WEB = only_used_by_wurt	
[00:03:32]: [DangTienScan] EN | STRINGS.CHARACTERS.XD_JINGWEI.ANNOUNCE_READ_BOOK.BOOK_TENTACLES = only_used_by_wurt	
[00:03:32]: [DangTienScan] EN | STRINGS.CHARACTERS.XD_JINGWEI.ANNOUNCE_READ_BOOK.BOOK_LIGHT_UPGRADED = only_used_by_wurt	
[00:03:32]: [DangTienScan] EN | STRINGS.CHARACTERS.XD_JINGWEI.ANNOUNCE_READ_BOOK.BOOK_RESEARCH_STATION = only_used_by_wurt	
[00:03:32]: [DangTienScan] EN | STRINGS.CHARACTERS.XD_JINGWEI.ANNOUNCE_READ_BOOK.BOOK_HORTICULTURE_UPGRADED = only_used_by_wurt	
[00:03:32]: [DangTienScan] EN | STRINGS.CHARACTERS.XD_JINGWEI.ANNOUNCE_READ_BOOK.BOOK_HORTICULTURE = only_used_by_wurt	
[00:03:32]: [DangTienScan] EN | STRINGS.CHARACTERS.XD_JINGWEI.ANNOUNCE_READ_BOOK.BOOK_SLEEP = only_used_by_wurt	
[00:03:32]: [DangTienScan] EN | STRINGS.CHARACTERS.XD_JINGWEI.ANNOUNCE_READ_BOOK.BOOK_FIRE = only_used_by_wurt	
[00:03:32]: [DangTienScan] EN | STRINGS.CHARACTERS.XD_JINGWEI.ANNOUNCE_READ_BOOK.BOOK_MOON = only_used_by_wurt	
[00:03:32]: [DangTienScan] EN | STRINGS.CHARACTERS.XD_JINGWEI.ANNOUNCE_READ_BOOK.BOOK_FISH = only_used_by_wurt	
[00:03:32]: [DangTienScan] EN | STRINGS.CHARACTERS.XD_JINGWEI.ANNOUNCE_READ_BOOK.BOOK_BEES = only_used_by_wurt	
[00:03:32]: [DangTienScan] EN | STRINGS.CHARACTERS.XD_JINGWEI.ANNOUNCE_READ_BOOK.BOOK_GARDENING = only_used_by_wurt	
[00:03:32]: [DangTienScan] EN | STRINGS.CHARACTERS.XD_JINGWEI.ANNOUNCE_READ_BOOK.BOOK_LIGHT = only_used_by_wurt	
[00:03:32]: [DangTienScan] EN | STRINGS.CHARACTERS.XD_JINGWEI.ANNOUNCE_READ_BOOK.BOOK_TEMPERATURE = only_used_by_wurt	
[00:03:32]: [DangTienScan] EN | STRINGS.CHARACTERS.XD_JINGWEI.ANNOUNCE_READ_BOOK.BOOK_BRIMSTONE = only_used_by_wurt	
[00:03:32]: [DangTienScan] EN | STRINGS.CHARACTERS.XD_JINGWEI.ANNOUNCE_READ_BOOK.BOOK_SILVICULTURE = only_used_by_wurt	
[00:03:32]: [DangTienScan] EN | STRINGS.CHARACTERS.XD_JINGWEI.ANNOUNCE_HUNGRY_FASTBUILD.1 = only_used_by_winona	
[00:03:32]: [DangTienScan] EN | STRINGS.CHARACTERS.XD_JINGWEI.ANNOUNCE_CANTBUILDHERE_HOUSE = only_used_by_wurt	
[00:03:32]: [DangTienScan] EN | STRINGS.CHARACTERS.XD_JINGWEI.ANNOUNCE_SOUL_FEW.1 = only_used_by_wortox	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_JINGWEI.ANNOUNCE_ATTACH_BUFF_ATTACK = 动手打！	
[00:03:32]: [DangTienScan] EN | STRINGS.CHARACTERS.XD_JINGWEI.ANNOUNCE_POCKETWATCH_RECALL = only_used_by_wanda	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_JINGWEI.ANNOUNCE_OCEANFISHING_LINETOOLOOSE = 收线也许管用。	
[00:03:32]: [DangTienScan] EN | STRINGS.CHARACTERS.XD_JINGWEI.ANNOUNCE_EXITGYM.MIGHTY = only_used_by_wolfang	
[00:03:32]: [DangTienScan] EN | STRINGS.CHARACTERS.XD_JINGWEI.ANNOUNCE_EXITGYM.NORMAL = only_used_by_wolfang	
[00:03:32]: [DangTienScan] EN | STRINGS.CHARACTERS.XD_JINGWEI.ANNOUNCE_EXITGYM.WIMPY = only_used_by_wolfang	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_JINGWEI.ANNOUNCE_TOADESCAPED = 癞蛤蟆逃走了。	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_JINGWEI.ANNOUNCE_ENCUMBERED.1 = 气喘吁吁...	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_JINGWEI.ANNOUNCE_ENCUMBERED.2 = 太费力了...	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_JINGWEI.ANNOUNCE_ENCUMBERED.3 = 这对我来说不是难事....	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_JINGWEI.ANNOUNCE_ENCUMBERED.4 = 我扛起...整个天...	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_JINGWEI.ANNOUNCE_ENCUMBERED.5 = 这个对我来说或许太重了！	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_JINGWEI.ANNOUNCE_ENCUMBERED.6 = 日复一日，年复一年。	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_JINGWEI.ANNOUNCE_ENCUMBERED.7 = 哼...！	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_JINGWEI.ANNOUNCE_ENCUMBERED.8 = 气喘...吁吁...	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_JINGWEI.ANNOUNCE_ENCUMBERED.9 = 我想把它丢到海里去。	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_JINGWEI.ANNOUNCE_CARRAT_ERROR_WRONG_WAY.1 = 不，不！方向错了！	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_JINGWEI.ANNOUNCE_CARRAT_ERROR_WRONG_WAY.2 = 掉头，你什么眼神啊！	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_JINGWEI.ANNOUNCE_DETACH_BUFF_MOISTUREIMMUNITY = 我可是不怕水的。	
[00:03:32]: [DangTienScan] EN | STRINGS.CHARACTERS.XD_JINGWEI.ANNOUNCE_STORYTELLING_ABORT_NOT_NIGHT.1 = only_used_by_walter	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_JINGWEI.ANNOUNCE_DETACH_BUFF_ELECTRICATTACK = 没有雷电的作用了。	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_JINGWEI.ANNOUNCE_WINCH_CLAW_NO_ITEM = 得！两手空空。	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_JINGWEI.ANNOUNCE_ATTACH_BUFF_ELECTRICATTACK = 我身披闪电！	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_JINGWEI.ANNOUNCE_ROYALTY.1 = 朋友。	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_JINGWEI.ANNOUNCE_ROYALTY.2 = 伙伴。	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_JINGWEI.ANNOUNCE_ROYALTY.3 = 我的朋友！	
[00:03:32]: [DangTienScan] EN | STRINGS.CHARACTERS.XD_JINGWEI.ANNOUNCE_SOUL_OVERLOAD.1 = only_used_by_wortox	
[00:03:32]: [DangTienScan] EN | STRINGS.CHARACTERS.XD_JINGWEI.ANNOUNCE_KINGDESTROYED = only_used_by_wurt	
[00:03:32]: [DangTienScan] EN | STRINGS.CHARACTERS.XD_JINGWEI.ANNOUNCE_BLOOMING.1 = only_used_by_wormwood	
[00:03:32]: [DangTienScan] EN | STRINGS.CHARACTERS.XD_JINGWEI.ANNOUNCE_GROWPLANT.1 = only_used_by_wormwood	
[00:03:32]: [DangTienScan] EN | STRINGS.CHARACTERS.XD_JINGWEI.ANNOUNCE_CANTBUILDHERE_WATCHTOWER = only_used_by_wurt	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_JINGWEI.ANNOUNCE_REVIVED_OTHER_CORPSE = 焕然一新！	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_JINGWEI.ANNOUNCE_NOMOUNTEDGIFT = 我应该先从它的身上下去。	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_JINGWEI.ANNOUNCE_HUNT_SUCCESSFUL_FORK = 我才不会害怕那些家伙！	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_JINGWEI.DESCRIBE_PLANTSTRESSORNUTRIENTS = 这颗可怜的植物需要营养!	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_JINGWEI.ANNOUNCE_WINTERS_FEAST_BUFF = 满满的节日精神！	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_JINGWEI.ANNOUNCE_TOWNPORTALTELEPORT = 我不确定。	
[00:03:32]: [DangTienScan] EN | STRINGS.CHARACTERS.XD_JINGWEI.ANNOUNCE_CHARLIE_MISSED = only_used_by_winona	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_JINGWEI.ANNOUNCE_WORMHOLE = 让我进去探查一番。	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_JINGWEI.ANNOUNCE_ENTER_LIGHT = 我又可以看到东西了！	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_JINGWEI.ANNOUNCE_BURNT = 呀！好烫！	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_JINGWEI.ANNOUNCE_SHELTER = 大树，多谢你替我遮风挡雨！	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_JINGWEI.ANNOUNCE_RESEARCH = 我还要勤加修炼才是！	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_JINGWEI.ANNOUNCE_CAVEIN = 天终于塌了！	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_JINGWEI.ANNOUNCE_DIG_DISEASE_WARNING = 它看起来已经好多了。	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_JINGWEI.ANNOUNCE_NODANGERGIFT = 有东西在四周！	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_JINGWEI.ANNOUNCE_SCRAPBOOK_FULL = 这些我都有了。	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_JINGWEI.ANNOUNCE_BOAT_LEAK = 水越来越多了。	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_JINGWEI.ANNOUNCE_TOADESCAPING = 蛤蟆精跑了。	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_JINGWEI.ANNOUNCE_SNARED_IVY = 反击!	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_JINGWEI.ANNOUNCE_DEERCLOPS = 听上去是个大家伙！	
[00:03:32]: [DangTienScan] EN | STRINGS.CHARACTERS.XD_JINGWEI.ANNOUNCE_WIMPYTONORMAL = only_used_by_wolfang	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_LUOSHEN.DESCRIBE_PLANTHAPPY = 何乐之草木也。	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_LUOSHEN.ANNOUNCE_CRAFTING_FAIL = 缺些东西。	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_LUOSHEN.ANNOUNCE_BEES = 蜂。	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_LUOSHEN.ANNOUNCE_CHAIR_ON_FIRE = 无事。	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_LUOSHEN.ANNOUNCE_BOOMERANG = 啊。当力接之。	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_LUOSHEN.ANNOUNCE_NODANGERSLEEP = 吾感周遭或存某种险。	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_LUOSHEN.ACTIONFAIL_GENERIC = 吾不能为。	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_LUOSHEN.ANNOUNCE_ACCOMPLISHMENT_DONE = 若吾友此刻能见...	
[00:03:32]: [DangTienScan] EN | STRINGS.CHARACTERS.XD_LUOSHEN.ANNOUNCE_CANTBUILDHERE_THRONE = only_used_by_wurt	
[00:03:32]: [DangTienScan] EN | STRINGS.CHARACTERS.XD_LUOSHEN.ANNOUNCE_GHOST_HINT = only_used_by_wendy	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_LUOSHEN.ANNOUNCE_ANTLION_SINKHOLE.1 = 地在动。	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_LUOSHEN.ANNOUNCE_ANTLION_SINKHOLE.2 = 地动。	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_LUOSHEN.ANNOUNCE_ANTLION_SINKHOLE.3 = 或当去降服此獠。	
[00:03:32]: [DangTienScan] EN | STRINGS.CHARACTERS.XD_LUOSHEN.ANNOUNCE_EQUIP_SHADOWLEVEL_T1 = only_used_by_waxwell	
[00:03:32]: [DangTienScan] EN | STRINGS.CHARACTERS.XD_LUOSHEN.ANNOUNCE_TOOMANYBIRDS = only_used_by_waxwell_and_wicker	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_LUOSHEN.ANNOUNCE_LIGHTNING_DAMAGE_AVOIDED = 避过闪电。	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_LUOSHEN.DESCRIBE_GENERIC = 此乃某物……	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_LUOSHEN.ANNOUNCE_KITCOON_FOUND_IN_THE_WILD = 吾说刚见那边有何藏着。	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_LUOSHEN.ANNOUNCE_CARRAT_ERROR_FELL_ASLEEP = 敢给吾眠。起，吾要赢赛。	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_LUOSHEN.ANNOUNCE_TORCH_OUT = 火灭。	
[00:03:32]: [DangTienScan] CN | STRINGS.CHARACTERS.XD_LUOSHEN.ANNOUNCE_KITCOON_HIDANDSEEK_FOUND_LAST_ONE = 吾找到最后。	
[00:03:32]: [DangTienScan] EN | STRINGS.CHARACTERS.XD_LUOSHEN.ANNOUNCE_STORYTELLING_ABORT_FIREWENTOUT.1 = only_used_by_walter	
[00:03:32]: [DangTienScan] EN | STRINGS.CHARACTERS.XD_LUOSHEN.ANNOUNCE_BATTLESONG_INSTANT_TAUNT_BUFF = only_used_by_wathgrithr	
